אוֹדָה	9
חֵ֫מֶת	1
שָׁלַךְ	94
רָחַק	49
טָחָה	1
מָ֫וֶת	117
בָּכָה	76
H7235a	1
קַשָּׁת	1
פָּארָן	9
פִּיכֹל	2
שָׁבַע	111
שָׁקַר	6
נִין	3
נֶ֫כֶד	3
גָּזַל	24
כִּבְשָׂה	4
עֵדָה	4
חָפַר	14
אֵ֫שֶׁל	3
נָסָה	28
יָחִיד	10
אָהֵב	138
מֹרִיָּה	2
חָבַשׁ	27
רָחֹק	72
מַאֲכֶ֫לֶת	3
שֶׂה	30
עָקַד	1
שָׁחַט	40
מְא֫וּמָה	24
H3373	46
אָחַז	54
סְבַךְ	3
קֶ֫רֶן	43
נְאֻם	130
יַעַן	66
חוֹל	23
אָיַב	162
עֵ֫קֶב	13
בּוּז	3
קְמוּאֵל	3
כֶּ֫שֶׂד	1
חֲזוֹ	1
פִּלְדָּשׁ	1
יִדְלָ֑ף	1
בְּתוּאֵל	4
רִבְקָה	9
פִּלֶ֫גֶשׁ	23
רְאוּמָה	1
טֶ֫בַח	1
גַּ֫חַם	1
תַּ֫חַשׁ	1
מַעֲכָה	13
סָפַד	23
תִּשְׁבֶּה	8
קֶ֫בֶר	46
מִבְחָר	11
פָּגַע	30
עֶפְרוֹן	4
צֹ֫חַר	5
מַכְפֵּלָה	4
H4392	36
שֶׁ֫קֶל	25
שָׁקַל	17
סָחַר	14
מָגוֹר מִסָּבִיב	163
יָרֵךְ	24
אָבָה	43
נָקָה	28
שְׁבוּעָה	26
טוּב	26
H1288a	3
שָׁאַב	10
קָרָה	18
נַעֲרָה	20
כַּד	5
בְּתוּלָה	35
גָּמָא	2
עָרָה	13
שֹׁ֫קֶת	2
שָׁאָה	1
חָרֵשׁ	36
צָלֵחַ	40
נֶ֫זֶם	11
בֶּ֫קַע	2
מִשְׁקָל	25
צָמִיד	4
תֶּ֫בֶן	9
מִסְפּוֹא	4
קָדַד	13
אֱמֶת	99
נָחָה	33
לָבָן	9
זִקְנָה	5
אָלָה	23
נָקִיא	36
עַלְמָה	7
שָׁאַל	118
אוֹ	102
כְּלִי	160
בֶּ֫גֶד	102
מִגְדָּנָה	4
עָשׂוֹר	15
אָחַר	17
H3243a	6
רְבָבָה	14
שָׂנֵא	106
רָכַב	60
שׂוּחַ	1
הַלָּזֶה	2
צָעִיף	2
קְטוּרָה	2
זִמְרָן	2
יׇקְשָׁן	2
מְדָן	2
מִדְיָן	21
יִשְׁבָּק	2
שׁוּחַ	2
אַשּׁוּרִם	1
לְטוּשִׁם	1
לְאֻמִּ֑ים	1
עֵיפָה	4
עֵ֫פֶר	4
אֲבִידָע	2
אֶלְדָּעָה	2
מַתָּנָה	12
שָׂבֵעַ	10
H7069	45
נְבָיוֹת	5
קֵדָר	10
אַדְבְּאֵל	2
מִבְשָׂם	3
מִשְׁמָע	3
דּוּמָה	3
מַשָּׂא	2
חֲדַד	2
תֵּימָא	5
יְטוּר	3
נָפִישׁ	3
קֵ֑דְמָה	2
חֲצֵרִים	77
טִירָה	7
אֻמָּה	7
רַמִּי	9
עָתַר	13
נֵכַח	22
רָצַץ	16
בֶּ֫טֶן	51
לְאֹם	24
אָמֵץ	34
תָּאַם	6
אַדְמוֹנִי	3
אַדֶּ֫רֶת	8
שֵׂעָר	14
עֵשָׂו	14
יַעֲקֹב	124
תָּם	12
זִיד	8
נָזִיד	3
עָיֵף	15
לָעַט	1
אֱדֹם	7
אֱדוֹם	49
מָכַר	43
H1062	5
עֲדָשָׁה	4
בָּזֹה	34
מִשְׁמֶ֫רֶת	42
מִצְוָה	90
חֻקָּה	60
תּוֹרָה	118
אָרַךְ	29
אֵיךְ	45
אָשָׁם	19
H8180	1
גָּדֵל	4
עֲבֻדָּה	2
קָנָא	24
סָתַם	8
עָצֹם	13
חָנָה	62
נַ֫חַל	88
H7378	49
עֵ֫שֶׂק	1
עָשַׂק	1
שִׂטְנָה	1
H7344	3
רָחַב	23
כָּרָה	13
אֲחֻזַּת	1
מֵרֵעַ	6
מַדּוּעַ	58
שִׁבְעָה	1
יְהוּדִית	1
בְּאֵרִי	2
בָּֽשְׂמַת	3
H0356	5
מֹרָה	1
כֵּהֶה	7
תְּלִי	1
צוּד	11
מַטְעָם	2
גְּדִי	12
שָׂעִר	2
חַלָּק	8
מָשַׁשׁ	6
תָּעַע	2
קְלָלָה	25
חֲמוּדָה	6
חֶלְקָה	2
צַוָּאר	30
מוּשׁ	3
נָכַר	36
נָשַׁק	28
טַל	24
שָׁמָן	1
דָּגָן	31
תִּירוֹשׁ	32
הָוָה	5
גְּבִיר	1
חָרַד	36
חֲרָדָה	8
אֵפוֹ	13
מַר	29
מִרְמָה	32
עָקַב	4
אָצַל	4
סָמַךְ	34
H5920	6
רוּד	4
פָּרַק	8
עֹל	21
שָׂטַם	6
אֵ֫בֶל	20
חֵמָה	92
שָׁכַח	71
מְשַׁכֶּ֫לֶת	18
קוּץ	8
קָהָל	72
מַחֲלַת	2
רַאֲשֹׁת	5
חָלַם	13
סֻלָּם	1
פָּרַץ	43
שְׁנָת	19
אָכֵן	15
מַצֶּבֶת	24
מוּצָק	34
שֶׁ֫מֶן	95
אוּלָם	18
לוּז	6
נָדַר	19
נֶ֫דֶר	32
עָשַׂר	6
עֵ֫דֶר	26
גָּלַל	16
H0370	16
רָחֵל	10
H7462	54
שֵׁ֫מַע	16
חָבַק	12
חִנָּם	27
מַשְׂכֹּ֫רֶת	3
לֵאָה	9
תֹּ֫אַר	14
אַהֲבָה	23
זִלְפָּה	5
רָמָה	8
שָׁבוּעַ	10
עֲבֹדָה	56
בִּלְהָה	6
רְאוּבֵן	33
שִׁמְעוֹן	29
לָוָה	10
לֵוִי	29
יָדָה	75
יְהוּדָה	261
מָנַע	28
בֶּ֫רֶךְ	24
נַפְתּוּלִים	1
פָּתַל	5
נַפְתָּלִי	37
גָּד	1
H1410	33
אֹ֫שֶׁר	1
אָשַׁר	8
אָשֵׁר	28
חִטָּה	28
דּוּדַי	2
שָׂכַר	15
יִשָּׂשכָר	29
זָבַד	1
זֶ֫בֶד	1
זָבַל	1
זְבוּלֻן	29
דִּינָה	3
חֶרְפָּה	60
יוֹסֵף	52
נָחַשׁ	8
נָקַב	15
מָתַי	36
נָקֹד	2
טָלָא	3
חוּם	1
כֶּ֫שֶׂב	9
מָחָר	38
גָּנַב	27
תַּ֫יִשׁ	4
